Drone No. 0: x=-1027.032635m | y=-1136.762054m
Other No. 1: x=173.237096m | y=746.153408m
Other No. 2: x=764.815779m | y=-42.577276m
Other No. 3: x=63.362332m | y=-763.374885m
Other No. 4: x=-57.009355m | y=-763.875601m
Other No. 5: x=-580.225676m | y=-500.094156m
Other No. 6: x=228.581532m | y=731.099503m
Heliostat No. 0: x=35.490480m | y=28.309053m
Heliostat No. 60: x=-6.557487m | y=34.650131m
Heliostat No. 120: x=75.386679m | y=47.049549m
Heliostat No. 180: x=-12.539809m | y=79.284093m
Heliostat No. 240: x=-49.975332m | y=42.541370m
Heliostat No. 300: x=-58.571836m | y=52.563531m
Heliostat No. 360: x=-34.672451m | y=103.994927m
Heliostat No. 420: x=62.571381m | y=128.384676m
Heliostat No. 480: x=133.375490m | y=6.165109m
Heliostat No. 540: x=-15.639955m | y=-88.971023m
Heliostat No. 600: x=-76.857946m | y=108.958078m
Heliostat No. 660: x=157.106122m | y=79.744612m
Heliostat No. 720: x=-29.493944m | y=-107.209720m
Heliostat No. 780: x=-25.518683m | y=170.478049m
Heliostat No. 840: x=143.673159m | y=-73.146225m
Heliostat No. 900: x=-132.397102m | y=74.509112m
Heliostat No. 960: x=200.736508m | y=34.627034m
Heliostat No. 1020: x=-147.605622m | y=-9.399118m
Heliostat No. 1080: x=199.800508m | y=91.436303m
Heliostat No. 1140: x=-151.615641m | y=-36.448476m
Heliostat No. 1200: x=214.391235m | y=82.749114m
Heliostat No. 1260: x=-171.714502m | y=2.474355m
Heliostat No. 1320: x=222.543225m | y=11.558489m
Heliostat No. 1380: x=-170.000535m | y=100.204996m
Heliostat No. 1440: x=186.301019m | y=-107.902149m
Heliostat No. 1500: x=-79.412051m | y=218.644323m
Heliostat No. 1560: x=35.291076m | y=-194.759172m
Heliostat No. 1620: x=117.214339m | y=236.795929m
Heliostat No. 1680: x=-166.083395m | y=-104.800370m
Heliostat No. 1740: x=266.794654m | y=34.967217m
Heliostat No. 1800: x=-170.758567m | y=167.276433m
Heliostat No. 1860: x=90.162126m | y=-208.062003m
Heliostat No. 1920: x=128.928471m | y=255.668318m
Heliostat No. 1980: x=-209.953084m | y=-68.840548m
Heliostat No. 2040: x=259.241553m | y=-70.602798m
Heliostat No. 2100: x=-70.560034m | y=271.098110m
Heliostat No. 2160: x=-98.656789m | y=-208.248791m
Heliostat No. 2220: x=293.371799m | y=85.013146m
Heliostat No. 2280: x=-181.457516m | y=206.659830m
Heliostat No. 2340: x=-0.370841m | y=-248.827173m
Heliostat No. 2400: x=271.683753m | y=169.717400m
Heliostat No. 2460: x=-227.500539m | y=159.311123m
Heliostat No. 2520: x=42.872109m | y=-260.441041m
Heliostat No. 2580: x=267.597678m | y=196.334080m
Heliostat No. 2640: x=-238.848245m | y=161.356532m
Heliostat No. 2700: x=25.563330m | y=-271.999466m
Heliostat No. 2760: x=295.957834m | y=171.444025m
Heliostat No. 2820: x=-217.538439m | y=214.839683m
Heliostat No. 2880: x=-52.074334m | y=-273.200515m
Heliostat No. 2940: x=339.931411m | y=75.785888m
Heliostat No. 3000: x=-130.085580m | y=303.764171m
Heliostat No. 3060: x=-184.213235m | y=-215.812836m
Heliostat No. 3120: x=322.701299m | y=-89.607750m
Heliostat No. 3180: x=42.312583m | y=354.545558m
Heliostat No. 3240: x=-295.862597m | y=-52.118050m
Heliostat No. 3300: x=190.180575m | y=-260.684052m
Heliostat No. 3360: x=259.754310m | y=272.328554m
Heliostat No. 3420: x=-269.760731m | y=196.455858m
Heliostat No. 3480: x=-73.932214m | y=-301.333291m
Heliostat No. 3540: x=365.347471m | y=3.914483m
Heliostat No. 3600: x=-17.666823m | y=374.404554m
Heliostat No. 3660: x=-311.134763m | y=-79.486462m
Heliostat No. 3720: x=187.934852m | y=-287.019605m
Heliostat No. 3780: x=313.524851m | y=245.278030m
Heliostat No. 3840: x=-230.882383m | y=282.474671m
Heliostat No. 3900: x=-197.063619m | y=-262.152833m
Heliostat No. 3960: x=338.559748m | y=-157.891455m
Heliostat No. 4020: x=175.074514m | y=367.569176m
Heliostat No. 4080: x=-328.872815m | y=146.037313m
Heliostat No. 4140: x=-66.159946m | y=-337.720091m
Heliostat No. 4200: x=394.049592m | y=-35.649804m
Heliostat No. 4260: x=61.591515m | y=408.257173m
Heliostat No. 4320: x=-359.391581m | y=46.635914m
Heliostat No. 4380: x=18.352524m | y=-359.942607m
Heliostat No. 4440: x=420.864836m | y=35.345616m
Heliostat No. 4500: x=15.881757m | y=420.895008m
Heliostat No. 4560: x=-370.921375m | y=17.109218m
Heliostat No. 4620: x=31.663246m | y=-370.943937m
Heliostat No. 4680: x=431.868065m | y=35.362306m
Heliostat No. 4740: x=32.144757m | y=431.937283m
Heliostat No. 4800: x=-381.253541m | y=49.638599m
Heliostat No. 4860: x=-17.086853m | y=-379.818103m
Heliostat No. 4920: x=427.633627m | y=-34.457232m
Heliostat No. 4980: x=110.135205m | y=434.238313m
Heliostat No. 5040: x=-376.013513m | y=142.949829m
Heliostat No. 5100: x=-124.991879m | y=-365.162064m
Heliostat No. 5160: x=401.755043m | y=-156.051478m
Heliostat No. 5220: x=250.392958m | y=390.019198m
Heliostat No. 5280: x=-311.199009m | y=291.479317m
Heliostat No. 5340: x=-278.918776m | y=-277.777769m
Heliostat No. 5400: x=290.212867m | y=-312.198955m
Heliostat No. 5460: x=401.464333m | y=252.759975m
Heliostat No. 5520: x=-143.358536m | y=431.516179m
Heliostat No. 5580: x=-402.262574m | y=-80.103248m
Heliostat No. 5640: x=64.442070m | y=-413.228620m
Heliostat No. 5700: x=464.163294m | y=-2.121965m
Heliostat No. 5760: x=128.019934m | y=464.076182m
Heliostat No. 5820: x=-387.771649m | y=206.715618m
Heliostat No. 5880: x=-229.260394m | y=-347.495170m
Heliostat No. 5940: x=344.610068m | y=-293.198687m
Heliostat No. 6000: x=403.715422m | y=289.610334m
Heliostat No. 6060: x=-152.481169m | y=451.549452m
Heliostat No. 6120: x=-429.639980m | y=-57.137013m
Heliostat No. 6180: x=7.991019m | y=-436.686793m
Heliostat No. 6240: x=472.363718m | y=-90.367689m
Heliostat No. 6300: x=246.966000m | y=442.684205m
Heliostat No. 6360: x=-326.214956m | y=341.823380m
Heliostat No. 6420: x=-367.682200m | y=-238.684830m
Heliostat No. 6480: x=185.342638m | y=-419.993526m
Heliostat No. 6540: x=506.177184m | y=77.196912m
Heliostat No. 6600: x=105.014275m | y=502.340252m
Heliostat No. 6660: x=-412.854975m | y=231.249899m
Heliostat No. 6720: x=-292.082533m | y=-340.670162m
Heliostat No. 6780: x=291.176661m | y=-379.235062m
Heliostat No. 6840: x=495.289049m | y=179.444846m
Heliostat No. 6900: x=17.207965m | y=519.938667m
